census_year,block_id,property_id,base_property_id,building_address,CLUE_small_area,parking_type,parking_spaces,longitude,latitude
2002,74,105741,105741,374-380 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Commercial,460,144.9598,-37.81366
2002,78,105763,105763,46-54 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Private,100,144.96975,-37.81078
2002,78,110713,105763,2 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Private,185,144.96975,-37.81078
2002,82,105460,105460,479-495 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Private,208,144.95361,-37.81433
2002,83,105456,105456,299-319 Queen Street MELBOURNE 3000,Melbourne (CBD),Residential,140,144.95734,-37.81309
2002,85,105745,103309,322 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Commercial,312,144.96129,-37.81321
2002,85,105746,105746,284-310 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Private,436,144.96158,-37.81211
2002,94,105484,105484,296-310 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Commercial,520,144.95912,-37.8118
2002,105,103302,103302,422-440 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Private,120,144.95969,-37.81027
2002,105,104080,104080,83-93 Franklin Street MELBOURNE 3000,Melbourne (CBD),Residential,124,144.96045,-37.80981
2002,131,103977,111287,633-669 Flinders Street DOCKLANDS 3005,Docklands,Private,354,144.95223,-37.82421
2002,131,103978,111287,18-38 Siddeley Street DOCKLANDS 3005,Docklands,Commercial,219,144.95223,-37.82421
2002,204,109359,109359,768-826 Swanston Street CARLTON 3053,Carlton,Private,662,144.96386,-37.79931
2002,205,104469,104469,114-152 Grattan Street CARLTON 3053,Carlton,Private,460,144.96356,-37.80157
2002,233,103164,107153,20 Elgin Street CARLTON 3053,Carlton,Residential,100,144.97267,-37.7989
2002,242,101255,101255,197-235 Bouverie Street CARLTON 3053,Carlton,Private,119,144.9603,-37.80267
2002,250,108266,108266,Nicholson Street CARLTON 3053,Carlton,Commercial,900,144.97032,-37.8056
