id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
14244663,Entire inner city home!,86667840,Mel,,Moreland,-37.75573999,144.9351247,Entire home/apt,97,3,16,0.58,1,0
17546338,"Beautiful, New and large Townhouse North Melbourne",15665874,Hugo,,Melbourne,-37.80165258,144.9514882,Private room,97,3,0,,1,0
3252388,STROLL TO THE BEACH & STATION,3399739,Adrian,,Bayside,-37.89700242,144.9938584,Private room,98,3,45,0.89,1,309
4407053,Beach and gardens heart of St kilda,533795,Lisa,,Port Phillip,-37.87092456,144.9833062,Entire home/apt,98,3,120,2.41,1,281
13212273,A charming unit conveniently located.,74016208,Susan,,Boroondara,-37.84704907,145.0812292,Entire home/apt,98,3,2,0.08,1,281
15140791,Downtown Living: Boutique Chic Apt@CBD central,28228036,Kenneth,,Melbourne,-37.8096887,144.956787,Entire home/apt,98,3,126,4.73,1,47
15945188,Stylish Apartment with Full-Length Balcony in Port Melbourne,103020913,Cath,,Port Phillip,-37.84023128,144.9383034,Entire home/apt,98,3,58,2.39,1,270
16356022,Heart of Central Melbourne 1 Bed Studio Apt,55896619,Deepak,,Melbourne,-37.810938,144.9629601,Entire home/apt,98,3,18,0.76,3,0
16726520,A light filled bespoke studio apartment,21385851,Christopher,,Port Phillip,-37.85810173,144.9905021,Entire home/apt,98,3,27,1.25,1,136
21571184,Trendy One Bedroom Flat near Fitzroy Gardens,8441113,Andrea,,Melbourne,-37.81014971,144.9890543,Entire home/apt,98,3,1,0.09,1,0
758097,Charming cottage in Sandringham,3993802,Danny,,Bayside,-37.96016924,145.0212196,Entire home/apt,100,3,55,0.79,1,1
2046678,Spacious Victorian-style duplex,9847372,Erwann,,Port Phillip,-37.85892958,144.9790529,Entire home/apt,100,3,7,0.12,2,0
2142709,"MELBOURNE magic with location, transport & comfort",157258,Carolyn,,Port Phillip,-37.83236819,144.9697874,Entire home/apt,100,3,81,1.38,1,299
3713658,St Kilda home,4999312,Leila,,Port Phillip,-37.86395698,144.9892789,Entire home/apt,100,3,79,1.56,2,327
3760883,Light Filled City Home next to MCG,15440855,Robert,,Melbourne,-37.8132284,144.9865467,Entire home/apt,100,3,18,0.36,3,3
4777736,Newly Renovated 1 bedroom apartment,6206455,Julie,,Frankston,-38.14420567,145.1385551,Entire home/apt,100,3,22,0.85,3,353
6613742,Spacious & 10min to CBD by train!,34610933,Tennille,,Yarra,-37.79679039,144.9967977,Entire home/apt,100,3,34,0.86,1,0
6783113,Close to everything,27069302,Natalie,,Stonnington,-37.8520827,145.0459242,Entire home/apt,100,3,3,0.07,1,0
7296025,"Brand new apartment, Close to CBD",38214846,Darko,,Glen Eira,-37.88821416,145.0466407,Entire home/apt,100,3,15,0.36,1,0
7523368,WHOLE APARTMENT- BRIGHT & RENOVATED,2396389,Miriam,,Moreland,-37.76163604,144.964417,Entire home/apt,100,3,28,0.72,1,68
8428576,Spacious Art Deco flat near station,1155195,Davina,,Port Phillip,-37.87280721,144.9935522,Entire home/apt,100,3,7,0.18,1,0
9047290,"Huge 2 Bed + Apartment, Balaclava",6948583,Michelle,,Port Phillip,-37.87175575,144.9901609,Entire home/apt,100,3,7,0.19,1,0
9908051,welcoming Northcote apartment,26566556,Caroline,,Darebin,-37.7716512,145.0004557,Entire home/apt,100,3,69,1.94,1,12
10077914,Modern 2bdrm 6km from city,23135099,Janna,,Moreland,-37.75881532,144.941503,Entire home/apt,100,3,1,0.03,1,0
10193602,"** SPECIAL - CLEAN, FRESH & COMFORTABLE! **",52358002,Hiona & Bengt,,Port Phillip,-37.87750094,144.9860747,Entire home/apt,100,3,65,1.87,2,339
10335206,#32 in the burbs,15209713,Sharon,,Casey,-38.04932732,145.3519722,Entire home/apt,100,3,42,1.25,1,337
10995597,Sunny and spacious open plan living,23998045,Tess,,Glen Eira,-37.92283729,145.0680525,Entire home/apt,100,3,0,,1,0
11324091,Large Modern Apartment,40156637,Sam,,Port Phillip,-37.88080882,144.9940002,Entire home/apt,100,3,0,,1,0
12522064,Vintage-Style Spacious Studio,67827106,David,,Yarra,-37.81597088,144.9903759,Private room,100,3,0,,1,0
13101666,A charming little end Unit,46036049,Amanda,,Hobsons Bay,-37.83155252,144.8734274,Entire home/apt,100,3,4,0.14,1,0
13143198,One Bedroom Apartment,73278217,Otto,,Yarra,-37.79713075,144.9754884,Entire home/apt,100,3,23,0.75,1,0
13386569,Private ensuite room in St Kilda Road,40066292,Eric,,Port Phillip,-37.8544119,144.9811378,Private room,100,3,0,,1,0
13485167,"Creekside Home in Leafy, Quiet Spot",228015,Lucy,,Moreland,-37.74590065,144.9795815,Entire home/apt,100,3,2,0.2,1,47
14029608,Creature comforts,9457606,Stephanie,,Yarra,-37.81131507,145.014169,Entire home/apt,100,3,68,2.36,1,280
15100258,Newly renovated 1 Room for rent,95527045,Sherly,,Monash,-37.91924774,145.1378675,Private room,100,3,2,0.08,1,363
